customer_id,customer_name,total_orders,customer_type
654,Ian Smith,4,Repeat Customer
15853,Adrian Brown,4,Repeat Customer
63558,Michael Stewart,4,Repeat Customer
64939,Pamela Cabrera,4,Repeat Customer
86199,Gary Hernandez,4,Repeat Customer
46467,Paige Taylor,4,Repeat Customer
85428,Donna Gomez,4,Repeat Customer
68681,Jordan Dudley,4,Repeat Customer
95412,Jeffrey Herrera,4,Repeat Customer
42341,Steven Moore,4,Repeat Customer
56839,James Melendez,4,Repeat Customer
14635,Joseph Mcgrath,4,Repeat Customer
38164,Anthony Alexander,4,Repeat Customer
24281,Michael Baker,4,Repeat Customer
24056,Anthony Brown,4,Repeat Customer
38478,Jeremy Nguyen,4,Repeat Customer
14917,Vanessa Brewer,4,Repeat Customer
61572,Travis Mitchell,4,Repeat Customer
79750,Leonard Pennington,4,Repeat Customer
35425,Cesar Walsh,4,Repeat Customer
42302,Robin Knight,4,Repeat Customer
25940,Alex Cruz,4,Repeat Customer
80042,Anne Hanson,4,Repeat Customer
255,Timothy Alvarado,4,Repeat Customer
40769,Andrew Murphy,4,Repeat Customer
66550,Mitchell Murphy,4,Repeat Customer
24754,Lisa Davidson,4,Repeat Customer
837,Christopher Lloyd,4,Repeat Customer
60614,Benjamin Yates,4,Repeat Customer
61981,Adam Giles,4,Repeat Customer
62231,Joseph Ryan,4,Repeat Customer
86428,Carlos Tran,4,Repeat Customer
11821,Gregory Boyd,4,Repeat Customer
53875,Jason Jackson,4,Repeat Customer
84495,Ryan Todd,4,Repeat Customer
87306,Justin Wang,4,Repeat Customer
48862,Michael Williams,4,Repeat Customer
59354,Gregory Flores,4,Repeat Customer
43518,Keith Erickson,4,Repeat Customer
63079,Justin Figueroa,4,Repeat Customer
54280,David Horn,4,Repeat Customer
4083,Ashley Dunlap,4,Repeat Customer
58363,Cheryl Rojas,4,Repeat Customer
72838,Patricia Lopez,4,Repeat Customer
83035,Dennis Ochoa,4,Repeat Customer
1179,Johnny Maldonado,4,Repeat Customer
54168,Evelyn Baxter,4,Repeat Customer
93203,Steven Lin,4,Repeat Customer
56082,Adrian Davis,4,Repeat Customer
30575,Jessica Anderson,4,Repeat Customer
92379,Diane Kim,4,Repeat Customer
86113,Alyssa Deleon,4,Repeat Customer
86629,Michelle West,4,Repeat Customer
56581,Adrian Medina,4,Repeat Customer
50854,Christopher Reynolds,4,Repeat Customer
43340,Sean King,4,Repeat Customer
3346,Jessica Smith,4,Repeat Customer
85769,Kelly Henderson,4,Repeat Customer
81010,Shannon Moore,4,Repeat Customer
80116,Nicholas Leonard,4,Repeat Customer
72504,David Miller,4,Repeat Customer
19297,Elizabeth Woods,4,Repeat Customer
82935,Kristen Hicks,4,Repeat Customer
39168,Diana Harrington,4,Repeat Customer
14421,Chris Oconnell,4,Repeat Customer
20991,Jennifer Byrd,4,Repeat Customer
87669,Jonathan Hanson,4,Repeat Customer
69826,April Hogan,4,Repeat Customer
88065,Tina Sullivan,4,Repeat Customer
28362,Kara Mathews,4,Repeat Customer
81806,Peter Bird,4,Repeat Customer
14281,Andrew Collins,4,Repeat Customer
35078,Joy Gardner,4,Repeat Customer
80048,Michael Baker,4,Repeat Customer
15335,Jonathan Smith,4,Repeat Customer
58222,Brianna Diaz,4,Repeat Customer
31213,Keith Jackson,4,Repeat Customer
89889,Paula Carroll,4,Repeat Customer
52225,Shane Lewis,4,Repeat Customer
74253,Joshua Bruce,4,Repeat Customer
69757,Andrea Jackson,4,Repeat Customer
53289,Roberto Riley,4,Repeat Customer
88847,Christopher Wilson,4,Repeat Customer
35531,Michele Mendoza,4,Repeat Customer
93370,David Carey,4,Repeat Customer
1853,Ruben Salazar,4,Repeat Customer
27524,Steven Carlson,4,Repeat Customer
64880,Thomas Kirby,4,Repeat Customer
75818,Lisa Harris,4,Repeat Customer
78924,Katherine Medina,4,Repeat Customer
43644,Christopher Jones,4,Repeat Customer
85214,Kyle Davis,4,Repeat Customer
15786,Emily Dawson,4,Repeat Customer
50717,Sarah Byrd,4,Repeat Customer
67190,Rebecca Gardner,4,Repeat Customer
78010,Roy Taylor,4,Repeat Customer
70847,Justin Johnson,4,Repeat Customer
45272,Rebecca Malone,4,Repeat Customer
73406,Andrew Barnes,4,Repeat Customer
1377,David Walker,4,Repeat Customer
8664,Kenneth Joseph,4,Repeat Customer
8883,Richard Dominguez,4,Repeat Customer
90524,Gabriel Thomas,4,Repeat Customer
65218,Mark Ryan,4,Repeat Customer
66875,Derek Golden,4,Repeat Customer
25682,Amy Santana,4,Repeat Customer
6288,Brett Ferrell,4,Repeat Customer
55210,Lisa Jones,4,Repeat Customer
88770,Amy Lee,4,Repeat Customer
46843,Kevin Graves,4,Repeat Customer
36717,Kyle Patel,4,Repeat Customer
14843,Brittany Shaw,4,Repeat Customer
2628,Jessica Smith,4,Repeat Customer
71519,Jessica Lang,4,Repeat Customer
93364,Jeffrey Ortiz,4,Repeat Customer
76404,Robin Ramirez,4,Repeat Customer
69064,Kelly Cole,4,Repeat Customer
3221,Michael Jacobs,4,Repeat Customer
50100,Nicholas Martinez,4,Repeat Customer
25532,Anne Brady,4,Repeat Customer
80662,Amber Hansen,4,Repeat Customer
93189,Edward Blackwell,4,Repeat Customer
8036,Tiffany Reynolds,4,Repeat Customer
63211,Cynthia Shields,4,Repeat Customer
3917,Taylor Espinoza,4,Repeat Customer
89281,Brenda Garrett,4,Repeat Customer
73267,Natalie Jacobs,4,Repeat Customer
6851,Martin Jones,4,Repeat Customer
96477,Melissa Macias,4,Repeat Customer
57122,Edward Perez,4,Repeat Customer
46202,James Thompson,4,Repeat Customer
95916,Stephanie Vazquez,4,Repeat Customer
34945,Nathaniel Shelton,4,Repeat Customer
47146,Norma Taylor,4,Repeat Customer
75729,William Brandt,4,Repeat Customer
8908,Christina Brown,4,Repeat Customer
67233,Theresa Ford,4,Repeat Customer
6615,Kelli Peterson,4,Repeat Customer
43442,Peter Day,4,Repeat Customer
